03/05/2019-13:31:58.000177  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:49224 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-13:37:27.000510  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:49396 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-13:43:12.000287  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:49576 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-13:48:12.000171  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:49800 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-13:53:42.000212  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:50008 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-13:59:27.000674  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:50208 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-14:10:13.000328  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:50580 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-14:14:57.223347  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:50744 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-14:21:49.000329  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:50994 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-14:26:34.000743  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:51138 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-14:37:27.000389  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:51644 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-14:53:51.000789  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:52170 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-14:59:21.001378  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:52396 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-15:05:07.000159  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:52598 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-15:10:36.000535  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:52778 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-15:21:51.000183  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:53282 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-15:32:21.000173  [**] [1:2221028:1] SURICATA HTTP Host header invalid [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 2001:06b0:0001:1041:7c43:5942:d995:c5eb:54132 -> 2001:067c:04e8:f004:0000:0000:0000:000a:80
03/05/2019-18:41:53.741949  [**] [1:2013031:6] ET POLICY Python-urllib/ Suspicious User Agent [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.23:48184 -> 91.250.101.245:80
03/05/2019-18:41:55.695056  [**] [1:2013031:6] ET POLICY Python-urllib/ Suspicious User Agent [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.23:48186 -> 91.250.101.245:80
03/05/2019-18:41:57.038137  [**] [1:2013031:6] ET POLICY Python-urllib/ Suspicious User Agent [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.23:48190 -> 91.250.101.245:80
03/05/2019-18:41:59.219156  [**] [1:2013031:6] ET POLICY Python-urllib/ Suspicious User Agent [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.23:48192 -> 91.250.101.245:80
03/05/2019-18:42:01.134730  [**] [1:2013031:6] ET POLICY Python-urllib/ Suspicious User Agent [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.1.23:48194 -> 91.250.101.245:80
03/07/2019-19:12:14.968989  [**] [1:2400004:2687] ET DROP Spamhaus DROP Listed Traffic Inbound group 5 [**] [Classification: Misc Attack] [Priority: 2] {TCP} 104.239.37.169:443 -> 192.168.1.23:41698
03/10/2019-23:15:00.583762  [**] [1:2013504:5] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.23:40910 -> 2.20.73.196:80
03/10/2019-23:15:00.665005  [**] [1:2013504:5] ET POLICY GNU/Linux APT User-Agent Outbound likely related to package management [**] [Classification: Not Suspicious Traffic] [Priority: 3] {TCP} 192.168.1.23:46092 -> 212.211.132.250:80
